index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,-1.3,1.7,-0.0007956920697244818,0.0007969603417828076,-0.0007956920697244819,0.9999990493007851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.9999,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.825155429096185,16.825155429096185,0.0,0.0
650,-0.023740763566406017,-1.3075076479255396,1.236278065086627,-0.22681828974932822,-0.06501914182136284,-0.021812501084566834,0.9715195260150148,0.44836227421268143,0.16161327187707983,-0.021942150457341585,-0.008732177528564082,-0.06232728479160224,-0.08625187765751047,0.06117994236938887,0.15000459227036425,0.09988611601805085,0,5.934900000000152,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.21312240569914,12.83112240569914,1.3820000000000003,1.9267267685041762
1300,-0.02880402099305936,-1.3183132244531452,1.2460653122051966,-0.24191530967592637,-0.05655105612153659,-0.023247509353058894,0.9683689969762657,0.47634047992047235,0.1628896192522185,-0.023283451191091684,-0.010915382526255332,-0.06281262446882763,-0.07251125659223562,0.07110580565927227,0.15000113536837337,0.10000040272743985,0,5.869900000000303,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.444971912546121,12.93297191254612,1.5119999999999998,1.9580199944153893
1950,-0.0343310118032637,-1.32973225106583,1.2547808704343315,-0.25602032137846903,-0.05161645838738981,-0.02542988096988156,0.9649573345069025,0.5000778618512726,0.16843778344899565,-0.026331620763987654,-0.010396097084108675,-0.0618705242297276,-0.06930730623520807,0.09615802338390987,0.15000340861496084,0.09900382280884022,0,5.804900000000455,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.55977189579195,12.90527189579195,1.6545,1.9436322275559235
2600,-0.03513941426884561,-1.334965277447647,1.2645245001880936,-0.26204067330531083,-0.04360483104781377,-0.024278788284426304,0.9637654510732531,0.5000498229969356,0.18171930804758293,-0.032370226359617005,-0.009061508818624282,-0.06053538923711117,-0.06283702520899864,0.12197078308819767,0.1499849724575508,0.09941067806164357,0,5.739900000000606,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.656819092014333,12.969319092014333,1.6875,0.5438381290924159
3250,-0.03945040542426797,-1.3438752108615817,1.271939179774322,-0.26918905807578586,-0.04406058287550919,-0.026178662004075898,0.9617227218406654,0.5000789648202333,0.19719037679629162,-0.033295116909850334,-0.009442461465079701,-0.058773818014451126,-0.06135074919194945,0.15117386947898354,0.14880233402710136,0.0995134839128704,0,5.674900000000758,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.851978698714884,13.085978698714884,1.766,1.4113083596352851
3900,-0.04892996153348033,-1.3527657814885197,1.27237495824219,-0.27389009439683615,-0.0546076257089099,-0.03153966985227511,0.9596913423759419,0.5000762176377871,0.2071376762130242,-0.02765535128481022,-0.00853868397313774,-0.0637291061341093,-0.06074118314701509,0.17942865110336867,0.1464374008823197,0.09978709483532211,0,5.609900000000909,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.927734998911586,13.091734998911585,1.8359999999999999,0.9901457876121107
4550,-0.05649498997380517,-1.360158206846958,1.274043437818023,-0.2783206591322752,-0.061281364472542274,-0.035728990564728856,0.9578651493304184,0.5000646829658354,0.21628242898455058,-0.023689348045760127,-0.007758780796128765,-0.06823022722467338,-0.048806390016848424,0.2000018621243661,0.12636354222884072,0.09995633888095631,0,5.544900000001061,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.04262864284871,13.17662864284871,1.8659999999999999,1.4831679963949131
5200,-0.05831225658405187,-1.3611791411565877,1.2790858149954063,-0.2807072208475396,-0.054981346913184154,-0.035557203085189115,0.9575574097485859,0.5000023476598142,0.2192417591787849,-0.023253760197662444,-0.00912120887503136,-0.06959988405762899,-0.004117742327637866,0.20000243604931867,-0.062283856997499366,0.09956445166476212,0,5.479900000001212,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.980925017092062,13.193925017092061,1.787,1.3095525508159334
5850,-0.06388399886700614,-1.3618521195471227,1.2759888559609336,-0.280091264439289,-0.0600899184074588,-0.03841395087492013,0.9573204550560719,0.4999788353814628,0.21911472099222837,-0.022714358266112414,-0.008361400620202053,-0.07047525521659025,0.01796509053266285,0.2000014512761881,-0.12015026425245638,0.09956726257347163,0,5.414900000001364,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.057196852169627,13.214196852169627,1.843,1.3647186435294731
6500,-0.07645048115841073,-1.4054296931753347,1.3103526591061532,-0.31360043517517977,-0.06287679047236769,-0.04426142177379283,0.9464365815100314,0.5000260046477759,0.28748315811071656,-0.016575233813033042,-0.009544248048642526,-0.07308735027466956,0.024043707321581287,0.1997243828421489,-0.150002101447617,0.0994681413052796,0,5.349900000001515,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.299773137728273,13.237773137728274,2.062,0.5842095700582739
7150,-0.08552072270464231,-1.4484028012219619,1.3602392492659188,-0.3609642160886748,-0.06235693106484513,-0.049473339108676954,0.9291764291936707,0.5000057405881833,0.3873557126072167,-0.013325685326236673,-0.010271247434526086,-0.07432396295679525,0.024237209608117413,0.19942372937598063,-0.15000202633349136,0.09939141113735428,0,5.284900000001667,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.797444272127354,13.396944272127353,2.4005,1.1593571674346173
7800,-0.09045693679776347,-1.4547847815481236,1.3695386137095449,-0.3692016096319403,-0.062371861204465195,-0.05184440128947038,0.9258034782987217,0.5008185875458759,0.4001771444594538,-0.007785113846593501,-0.011181422099177532,-0.07347931984519077,0.03744756523171334,0.19983313534915062,-0.15002066442304185,0.09895118689099594,0,5.219900000001818,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.818185694797215,13.372185694797215,2.4460000000000006,0.3744361216337744
8450,-0.09530179094758146,-1.4557205538594729,1.3687466275840392,-0.36980161267764894,-0.0656287560550978,-0.05476635547148798,0.9251704058972278,0.5007192689480968,0.4000035153183887,-0.0037164068932009574,-0.011194169148106012,-0.07199494266788961,0.09813488513796743,0.11414821651175448,-0.1500011282840526,0.09818907050086707,0,5.15490000000197,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.829680692181398,13.4816806921814,2.348,1.0473678523449692
9100,-0.09754332737064912,-1.4547812186687272,1.3691038999331044,-0.36967856630326557,-0.06324636188412393,-0.05538849064460375,0.9253484589215553,0.5008825176188094,0.40005961686545727,-0.005689304352779625,-0.011220199841761336,-0.07309416315220663,0.17934722953011656,-0.0049795301100790034,-0.15000648853965898,0.09738662830312315,0,5.089900000002121,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.862760925574982,13.462760925574981,2.4000000000000004,0.9609911842147056
9750,-0.09909769325989247,-1.454413513346535,1.371838818312165,-0.3703197570108668,-0.06020501887755966,-0.05561441383003721,0.925281400571581,0.5006608451429191,0.4000112850550993,-0.005984791511623362,-0.011185166508537988,-0.05507445956699658,0.20001205284858653,-0.05083118073244121,-0.15000869340979966,0.09746406217337375,0,5.0249000000022725,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.943358978274398,13.499358978274397,2.4440000000000004,2.018125668947908
